code,name
R52.0,Гострий біль
R52.1,Постійний нездоланний біль
R52.2,Iнший постійний біль
R52.9,"Біль, неуточнений"
R68.8,Iнші уточнені загальні симптоми та ознаки
R50.8,Інша уточнена гарячка
R50.9,"Гарячка, неуточнена"
G93.3,Післявірусний синдром стомлюваності
R53,R53. Нездужання та втома
R53,R53. Нездужання та втома
R55,R55. Непритомність та колапс
R40.0,Сомнолентність [гіперсомнія]
R40.1,Ступор
R40.2,"Кома, неуточнена"
R68.8,Iнші уточнені загальні симптоми та ознаки
R61.0,Локалізований гіпергідроз
R61.1,Генералізований гіпергідроз
R61.9,"Гіпергідроз, неуточнений"
R58,"R58. Кровотеча, не класифікована в інших рубриках"
R07.4,"Біль в грудній клітці, неуточнений"
Z71.1,"Звертання, спричинене острахом (надуманої) недуги, при відсутності встановленого діагнозу"
R68.1,"Неспецифічні симптоми, які є характерними для немовлят"
R46.8,"Iнші симптоми та ознаки, що відносяться до зовнішнього вигляду та поведінки"
Z71.8,Iнша уточнена консультація
Z80.0,В сімейному анамнезі злоякісне новоутворення органів травлення
Z80.1,"В сімейному анамнезі злоякісне новоутворення трахеї, бронхів та легені"
Z80.2,В сімейному анамнезі злоякісне новоутворення інших органів дихання та грудної клітки
Z80.3,В сімейному анамнезі злоякісне новоутворення молочної залози
Z80.4,В сімейному анамнезі злоякісне новоутворення статевих органів
Z80.5,В сімейному анамнезі злоякісне новоутворення сечових органів
Z80.6,В сімейному анамнезі лейкоз
Z80.7,"В сімейному анамнезі інші злоякісні новоутворення лімфоїдної, кровотворної та споріднених тканин"
Z80.8,В сімейному анамнезі злоякісне новоутворення інших органів або систем
Z80.9,"В сімейному анамнезі злоякісне новоутворення, неуточнене"
Z85.0,В особистому анамнезі злоякісне новоутворення органів травлення
Z85.1,"В особистому анамнезі злоякісне новоутворення трахеї, бронхів та легені"
Z85.2,В особистому анамнезі злоякісне новоутворення інших органів дихання та грудної клітки
Z85.3,В особистому анамнезі злоякісне новоутворення молочної залози
Z85.4,В особистому анамнезі злоякісне новоутворення статевих органів
Z85.5,В особистому анамнезі злоякісне новоутворення сечових органів
Z85.6,В особистому анамнезі лейкоз
Z85.7,"В особистому анамнезі злоякісні новоутворення лімфоїдної, кровотворної та спорідненої їм тканини"
Z85.8,В особистому анамнезі злоякісне новоутворення інших органів чи систем
Z85.9,"В особистому анамнезі злоякісне новоутворення, неуточнене"
Z92.6,В особистому анамнезі реабілітаційні заходи
Z20.0,Контакт з хворим або можливість зараження кишковими інфекційними хворобами
Z20.1,Контакт з хворим або можливість зараження туберкульозом
Z20.2,"Контакт з хворим або можливість зараження інфекційними хворобами, що передаються переважно статевим шляхом"
Z20.3,Контакт з хворим або можливість зараження сказом
Z20.4,Контакт з хворим або можливість зараження краснухою [червоною висипкою]
Z20.5,Контакт з хворим або можливість зараження вірусним гепатитом
Z20.6,Контакт з хворим або можливість зараження вірусом імунодефіциту людини [ВІЛ]
Z20.7,"Контакт з хворим або можливість зараження педикульозом, акаріазом та іншими паразитарними хворобами"
Z20.8,Контакт з хворим або можливість зараження іншими інфекційними хворобами
Z20.9,Контакт з хворим або можливість зараження неуточненою інфекційною хворобою
Z28.0,Iмунізація не проведена у зв'язку з медичними протипоказаннями
Z28.1,Iмунізація не проведена в зв'язку з відмовою пацієнта через його переконання або під впливом оточення
Z28.2,Iмунізація не проведена у зв'язку з відмовою пацієнта з інших або неуточнених причин
Z28.8,Iмунізація не проведена з інших причин
Z28.9,Iмунізація не проведена з неуточненої причини
Z72.0,Вживання тютюну
Z72.1,Вживання алкоголю
Z72.2,Вживання наркотичних препаратів
Z72.3,Недостатня фізична активність
Z72.4,Неприйнятна дієта та шкідливі харчові звички
Z72.5,Сексуальна поведінка з високим ступенем ризику
Z73.2,Недостатність розслаблення та відпочинку
Z81.0,В сімейному анамнезі розумова відсталість
Z81.1,В сімейному анамнезі алкогольна залежність
Z81.2,В сімейному анамнезі куріння
Z81.3,В сімейному анамнезі зловживання психоактивними лікарськими засобуми
Z81.4,"В сімейному анамнезі зловживання іншими речовинами, що зумовлюють залежність"
Z81.8,В сімейному анамнезі інші психічні розлади та порушення поведінки
Z82.0,В сімейному анамнезі епілепсія та інші хвороби нервової системи
Z82.1,В сімейному анамнезі сліпота та втрата зору
